Step,CONST1,CONST0,NXOR,XOR,OR,CIMPL,PROJX1,IMPL,PROJX2,AND,NAND,NOTX2,NIMPL,NOTX1,NCIMPL,NOR
0,0,1,0.5079,0.5036,0.4888,0,0.5067,0.4989,1,1,0,0,0.5005,0.5071,1,0.4927
1,0.0565,0.9631,0.4866,0.4845,0.2926,0.2672,0.5154,0.2694,0.538,0.7568,0.2391,0.4521,0.697,0.4793,0.7334,0.6963
2,0.1317,0.9671,0.5001,0.4828,0.3011,0.3094,0.5093,0.303,0.5346,0.7604,0.2768,0.4663,0.6996,0.468,0.7393,0.6732
3,0.193,0.9695,0.5051,0.4938,0.3322,0.3241,0.5147,0.3208,0.5445,0.7646,0.2984,0.4462,0.6978,0.4788,0.7387,0.6568
4,0.27,0.9742,0.4965,0.4926,0.3484,0.347,0.5253,0.3666,0.5507,0.7694,0.3234,0.4538,0.7012,0.4782,0.742,0.6432
5,0.3537,0.9774,0.5005,0.4869,0.375,0.3744,0.5319,0.3949,0.5724,0.7694,0.352,0.447,0.7004,0.4613,0.7356,0.6289
6,0.4377,0.9851,0.4944,0.4842,0.3931,0.4132,0.5281,0.4369,0.5678,0.7671,0.3875,0.4489,0.7061,0.4589,0.7354,0.607
7,0.524,0.9871,0.4998,0.4808,0.4227,0.4162,0.5436,0.4641,0.6004,0.7688,0.4162,0.4464,0.6967,0.4597,0.7321,0.5923
8,0.5982,0.9872,0.4981,0.4767,0.4569,0.4607,0.5512,0.5082,0.6108,0.7672,0.4426,0.4427,0.6968,0.4606,0.7354,0.5796
9,0.6673,0.9916,0.4977,0.4819,0.4869,0.4866,0.5524,0.5487,0.6296,0.7739,0.4746,0.4445,0.6998,0.469,0.7263,0.5749
10,0.7244,0.9928,0.5022,0.4821,0.5222,0.5053,0.5587,0.5735,0.6423,0.7743,0.5027,0.4485,0.6908,0.4753,0.7268,0.5615
11,0.7734,0.9936,0.491,0.482,0.5455,0.5332,0.5676,0.5968,0.6613,0.7766,0.5251,0.4552,0.6897,0.4766,0.7267,0.5562
12,0.8242,0.9948,0.4979,0.4843,0.579,0.5584,0.5845,0.6231,0.6937,0.7787,0.5471,0.4526,0.6966,0.4729,0.7251,0.5527
13,0.8578,0.9955,0.4931,0.4853,0.6176,0.5697,0.5899,0.6377,0.7022,0.7868,0.5725,0.4662,0.6932,0.4747,0.7225,0.562
14,0.8804,0.9962,0.4898,0.4842,0.6417,0.586,0.6062,0.6597,0.723,0.7851,0.5914,0.4669,0.6888,0.4957,0.7173,0.5373
15,0.9044,0.9965,0.4824,0.4859,0.6745,0.6123,0.6002,0.6692,0.7513,0.7903,0.6136,0.4715,0.6851,0.4947,0.7268,0.5309
16,0.9227,0.9964,0.4841,0.4851,0.7005,0.6141,0.6052,0.6771,0.7619,0.7935,0.6248,0.4869,0.69,0.5066,0.7206,0.5332
17,0.9274,0.997,0.4869,0.5023,0.7159,0.6337,0.6214,0.6795,0.7946,0.8006,0.6374,0.4898,0.6871,0.5081,0.7269,0.5255
18,0.9391,0.997,0.48,0.493,0.7351,0.6466,0.6394,0.6897,0.8065,0.7945,0.6469,0.4979,0.6808,0.5277,0.7387,0.5363
19,0.9516,0.9981,0.4741,0.489,0.7587,0.6641,0.6338,0.6802,0.8272,0.7988,0.6524,0.5124,0.6899,0.518,0.7267,0.5382
20,0.9566,0.9975,0.4637,0.4905,0.7788,0.6632,0.6596,0.6971,0.8472,0.8024,0.6606,0.5248,0.6765,0.5245,0.7239,0.5442
21,0.9598,0.9977,0.4749,0.4998,0.7901,0.6778,0.6636,0.6821,0.8655,0.8071,0.6669,0.5382,0.6719,0.5378,0.7353,0.5462
22,0.9657,0.9988,0.4725,0.5125,0.8017,0.6903,0.6648,0.6715,0.879,0.8103,0.6706,0.541,0.6926,0.5428,0.7425,0.5501
23,0.9696,0.9986,0.4667,0.5195,0.8178,0.6925,0.6778,0.6648,0.8935,0.8144,0.6726,0.5538,0.6686,0.5479,0.7427,0.5554
24,0.9754,0.999,0.463,0.5248,0.833,0.6988,0.6899,0.675,0.9031,0.8182,0.6742,0.5746,0.6732,0.5591,0.742,0.5534
25,0.9757,0.9991,0.4628,0.5254,0.8259,0.7008,0.6934,0.6654,0.9144,0.8183,0.6772,0.5865,0.6739,0.5585,0.7516,0.5661
26,0.9785,0.9985,0.4573,0.5157,0.8485,0.7159,0.7107,0.6752,0.9216,0.824,0.6821,0.5949,0.6749,0.5536,0.7555,0.5796
27,0.9808,0.9989,0.4508,0.5231,0.8489,0.7235,0.7094,0.6575,0.9325,0.8261,0.6772,0.6161,0.677,0.5662,0.7697,0.586
28,0.9837,0.9994,0.4555,0.5159,0.85,0.7215,0.7278,0.6661,0.9358,0.8339,0.6828,0.6272,0.6687,0.5742,0.7546,0.5914
29,0.9839,0.9994,0.4517,0.5353,0.86,0.7357,0.7315,0.655,0.9482,0.8324,0.6672,0.6384,0.6776,0.5849,0.7699,0.6149
30,0.9838,0.9989,0.4478,0.5408,0.8674,0.7423,0.7335,0.6598,0.944,0.8378,0.6682,0.6547,0.6715,0.5917,0.7729,0.619
31,0.986,0.9994,0.4544,0.5236,0.8637,0.7487,0.7429,0.6538,0.9497,0.8363,0.6669,0.6723,0.6816,0.5834,0.7685,0.6319
32,0.9871,0.9995,0.4482,0.5359,0.8743,0.7495,0.7563,0.6489,0.955,0.8384,0.6586,0.6854,0.6742,0.5846,0.7854,0.6394
33,0.9886,0.9995,0.4566,0.5449,0.8741,0.7602,0.7588,0.6389,0.9578,0.8445,0.6717,0.6974,0.6812,0.591,0.79,0.6543
34,0.9895,0.9999,0.4549,0.5396,0.8748,0.7652,0.7703,0.6379,0.9613,0.8463,0.6612,0.7152,0.6726,0.5946,0.8037,0.6666
35,0.9886,0.9994,0.4532,0.542,0.8766,0.7719,0.7793,0.6344,0.9615,0.843,0.6708,0.7245,0.6685,0.6053,0.8063,0.6775
36,0.9905,0.9994,0.4473,0.5552,0.8806,0.7822,0.7882,0.6318,0.9657,0.8457,0.6563,0.7386,0.6816,0.5966,0.8056,0.6932
37,0.9922,0.9998,0.4531,0.5524,0.8809,0.7828,0.792,0.6184,0.9659,0.8523,0.6503,0.761,0.6832,0.5974,0.8182,0.701
38,0.9914,0.9997,0.4452,0.5428,0.8881,0.7916,0.799,0.6177,0.9657,0.8594,0.6519,0.7604,0.6813,0.606,0.8146,0.7153
39,0.9913,0.9999,0.4463,0.5472,0.8871,0.7962,0.7999,0.6208,0.9658,0.8677,0.6524,0.7778,0.6876,0.6097,0.826,0.7224
40,0.9932,0.9998,0.4488,0.5476,0.8878,0.802,0.8123,0.6059,0.9629,0.867,0.6432,0.7827,0.6842,0.6132,0.8326,0.7322
41,0.9935,0.9998,0.4504,0.5424,0.8916,0.806,0.8159,0.6017,0.9643,0.872,0.6366,0.7921,0.6833,0.6094,0.8318,0.7485
42,0.9922,0.9999,0.4473,0.5447,0.8916,0.8106,0.8119,0.6117,0.9649,0.8746,0.6349,0.8125,0.6879,0.6173,0.8388,0.7617
43,0.9939,1,0.4509,0.5402,0.8916,0.8251,0.825,0.5914,0.9626,0.8837,0.6287,0.8152,0.6966,0.6127,0.8439,0.7684
44,0.994,0.9998,0.4468,0.5445,0.8924,0.8209,0.8304,0.6035,0.9655,0.8809,0.6264,0.8208,0.6999,0.6134,0.8497,0.7817
45,0.9944,0.9997,0.4526,0.5422,0.893,0.8314,0.8414,0.5961,0.9625,0.8832,0.6316,0.8316,0.6915,0.6106,0.8583,0.7867
46,0.995,0.9998,0.4523,0.5458,0.8905,0.8327,0.8507,0.5936,0.9668,0.8836,0.6196,0.8382,0.6943,0.6192,0.8674,0.7995
47,0.9955,0.9999,0.4553,0.5382,0.8982,0.8405,0.8488,0.5835,0.9657,0.8871,0.6232,0.8472,0.7061,0.6139,0.8737,0.8073
48,0.9955,0.9999,0.4554,0.5358,0.8987,0.8424,0.861,0.5921,0.9658,0.8919,0.6165,0.8549,0.7089,0.6203,0.8759,0.8084
49,0.9955,1,0.4509,0.5352,0.9012,0.8539,0.8647,0.5808,0.9645,0.8943,0.6245,0.8583,0.7075,0.6141,0.8836,0.8232
50,0.9962,1,0.4537,0.5282,0.9019,0.8552,0.8776,0.5834,0.9647,0.8988,0.6248,0.8711,0.7087,0.6189,0.8886,0.8242
51,0.9951,0.9999,0.4513,0.5252,0.9018,0.8581,0.8834,0.5718,0.9637,0.9017,0.6126,0.8714,0.7187,0.6225,0.8908,0.8366
52,0.9947,0.9999,0.4506,0.5371,0.907,0.8635,0.8929,0.575,0.9667,0.9053,0.605,0.8775,0.7273,0.629,0.8957,0.8431
53,0.9948,1,0.4567,0.526,0.9032,0.8684,0.898,0.5759,0.9639,0.9069,0.6061,0.8849,0.7287,0.6259,0.8975,0.8509
54,0.9959,0.9997,0.4562,0.5304,0.9073,0.8703,0.9028,0.5707,0.9626,0.91,0.6133,0.8875,0.7222,0.6334,0.903,0.8653
55,0.9954,0.9999,0.4593,0.5234,0.9081,0.8763,0.9049,0.5733,0.9621,0.9066,0.6114,0.89,0.7328,0.6337,0.9026,0.8669
56,0.9969,0.9999,0.4571,0.5266,0.9083,0.8766,0.9069,0.5736,0.9634,0.9141,0.5959,0.8901,0.7417,0.6337,0.9149,0.8729
57,0.9957,0.9999,0.4595,0.5279,0.9061,0.8837,0.9163,0.5579,0.9625,0.9155,0.6058,0.8993,0.7496,0.6374,0.9158,0.8792
