Max,Delay Line Length,Mean,error_y.array,Available,max_norm,mean_norm,error_norm
2,2,2,0,23,0.0869565217,0.0869565217,0
9,3,8.98,0.1989974874,23,0.3913043478,0.3904347826,0.0086520647
22,4,11.68,3.643844124,23,0.9565217391,0.507826087,0.1584280054
18,5,12.81,1.5407465723,23,0.7826086957,0.5569565217,0.0669889814
22,6,15.24,1.4008568806,23,0.9565217391,0.6626086957,0.0609068209
18,7,14.52,1.260793401,23,0.7826086957,0.6313043478,0.0548171044
20,8,13.23,1.6784218778,23,0.8695652174,0.5752173913,0.0729748643
20,9,14.55,1.4309088021,23,0.8695652174,0.6326086957,0.0622134262
18,10,15.78,0.7426977851,23,0.7826086957,0.6860869565,0.032291208
19,11,14.85,1.5898113096,23,0.8260869565,0.6456521739,0.0691222309
17,12,15.1,0.3872983346,23,0.7391304348,0.6565217391,0.016839058
19,13,15.7,0.9949874371,23,0.8260869565,0.6826086957,0.0432603234
19,14,16.03,1.1870551798,23,0.8260869565,0.6969565217,0.0516110948
19,15,15.12,1.2983065894,23,0.8260869565,0.6573913043,0.0564481126
19,16,16.42,1.2180311983,23,0.8260869565,0.7139130435,0.0529578782
